,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Time,Time_2,Locomotion,Group_1,Group_2,Name,Num
Alligator mississipiens,-0.774909532,-0.397937507,1.059436095,0.536040127,-0.272655908,Extant,2,Undulation,Reptile,Amniotes,All.mi,126
Amblyrhynchus cristatus,-1.328703905,-0.647284075,0.636105671,0.327888546,2.056524917,Extant,2,Undulation,Reptile,Amniotes,Am.cr,127
Andrias japonicus,-2.362547364,-0.150252373,-0.994737253,-0.568178183,-1.640858932,Extant,2,Undulation,Amphibian,Amphibian,An.ja,128
Aptenodytes patagonicus,3.266995585,-2.45967607,1.201932709,1.449589537,0.595479767,Extant,2,Forelimb oscillation,Aves,Amniotes,Ap.pa,129
Arctocephalus pusillus,0.348202319,-2.26447814,-1.759184357,0.75642818,0.527481327,Extant,2,Forelimb oscillation,Mammal,Amniotes,Ar.pu,130
Arvicola terrestris,-1.82087958,-1.38285947,-0.551737835,0.410700767,0.508009885,Extant,2,Paddling,Mammal,Amniotes,Ar.te,131
Bufo bufo,-0.210789213,-2.012067756,-1.021261335,1.033831529,-1.17268919,Extant,2,Rowing,Amphibian,Amphibian,Bu.bu,132
Caiman latirostris,-1.031257468,-0.573845934,1.910365324,1.055420692,-0.024230437,Extant,2,Undulation,Reptile,Amniotes,Ca.la,133
Castor canadiensis,-2.070820685,-0.915106308,-1.125026836,0.653452126,1.263626652,Extant,2,Paddling,Mammal,Amniotes,Cas.ca,134
Castor fiber,-1.907402649,-1.030519202,-1.157844166,0.337849639,0.687860241,Extant,2,Paddling,Mammal,Amniotes,Cas.fi,135
Chelodina longicollis,-0.294387966,-2.031083649,-0.577382261,-0.222245371,-1.161777108,Extant,2,Rowing,Reptile,Amniotes,Che.lo,136
Chelonia mydas,2.57471625,-2.240819644,-0.931755872,1.117583203,0.078156265,Extant,2,Forelimb oscillation,Reptile,Amniotes,Che.my,137
Chelus fimbriata,0.362677088,-1.854063915,-0.209493073,-0.457195676,-0.498709964,Extant,2,Rowing,Reptile,Amniotes,Che.fi,138
