Taxon,Trunk,NECK_ratio,TAIL_ratio,LOWERJAW_ratio,BRACHIAL_index,Hum_Flare,FORELIMB_ratio,MANUS_ratio,MANUS_AR,CRURAL_index,FORE_HIND_ ratio,Fem_Flare,HINDLIMB_ratio,PES_ratio,PES_AR,MANUS_PES_ratio,Time,Time_2,Locomotion,Group_1,Group_2
Mixosaurus xindianensis,37.33,0.077,0.921,0.597,0.597,0.725,0.354,0.207,2.249,0.738,1.884,0.802,0.188,0.106,1.745,2.987,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Phalarodon atavus,24.72,0.121,0.993,0.576,0.848,0.993,0.317,0.176,2.013,0.76,1.476,0.771,0.194,0.112,2.016,2.495,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Besanosaurus leptorhynchus,172.4,0.07,1.616,0.296,0.708,1.052,0.406,0.273,4.563,0.831,1.157,0.819,0.348,0.229,4.239,1.315,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Shonisaurus popularis,396,0.218,1.398,0.694,0.6,0.875,0.48,0.318,5.345,0.623,1.159,0.957,0.498,0.351,5.615,0.863,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Guanlingsaurus lingae,262.5,0.143,1.032,0.286,0.624,0.956,0.431,0.304,4.086,0.804,1.388,0.89,0.305,0.212,4.883,2.458,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Guizhouichthyosaurus tangae,175.1,0.136,1.401,0.456,0.64,0.965,0.517,0.39,5.093,0.667,1.171,0.747,0.443,0.351,6.397,1.551,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Qianichthyosaurus zhoui,53.2,0.111,1.47,0.504,0.666,0.668,0.597,0.403,6.037,0.627,0.956,0.702,0.465,0.269,3.439,1.274,Triassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Suevoleviathan integer,105,0.068,2.098,0.848,0.404,0.836,0.57,0.414,2.291,0.379,1.326,0.743,0.429,0.304,3.227,2.618,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Temnodontosaurus trigonodon,235.4,0.088,1.792,0.667,0.446,0.92,0.448,0.314,4.416,0.386,1.158,0.719,0.345,0.246,4.854,1.802,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Leptonectes tenuirostris,69.53,0.077,1.483,0.811,0.479,0.851,0.707,0.509,4.451,0.367,1.332,0.604,0.281,0.161,1.683,3.757,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Hauffiopteryx typicus,60,0.077,1.376,0.642,0.459,0.868,0.371,0.238,3.005,0.382,1.516,0.722,0.142,0.073,1.476,5.27,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Excalibosaurus costini,144.64,0.104,2.127,0.684,0.531,0.965,0.512,0.368,3.826,0.372,1.409,0.788,0.209,0.12,2.037,5.028,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
Eurhinosaurus longirostris,160.9,0.055,1.787,0.426,0.52,0.917,0.513,0.362,3.609,0.43,1.34,0.834,0.423,0.315,5.642,2.061,Jurassic,Mesozoic,Ichthyosauromorpha,Ichthyosauromorpha,Amniotes
